Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
C1QTNF6,0.337406814284486,NA,NA,NA,NA,NA,NA,NA,NA,NA
C20orf194,-0.303828103809282,-0.30332769088715,NA,-0.277929507809083,NA,NA,-0.268381029326206,NA,NA,NA
C21orf58,NA,NA,NA,NA,NA,NA,0.288825383140837,NA,NA,NA
C3orf33,NA,-0.264921370724189,NA,NA,NA,-0.280352031753226,-0.261603521089076,NA,NA,-0.268145054386867
C5orf22,-0.298845322141653,-0.32649375058476,-0.283174118104509,-0.339008051931484,-0.28273266876967,-0.296201355809767,-0.27539586617069,-0.325804642522723,-0.308568285276849,-0.323711796204321
C6orf136,0.38733357949205,0.415748492108841,0.385725984292033,0.409586936941322,0.402702179700024,0.433943310820436,0.324043120007449,0.392641311076361,0.496933075925916,0.513337922798359
C6orf52,NA,NA,-0.253795183384225,-0.251444458649743,NA,NA,NA,NA,0.302584635855253,-0.261620089581592
CA13,0.265099731623641,NA,0.330643082633652,NA,0.319208139012991,NA,-0.296910691167244,NA,NA,NA
CA5BP1,NA,NA,0.310188748849736,NA,NA,NA,NA,NA,NA,0.33554630709032
CACNA1H,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277911349403381
CACNA2D2,NA,NA,0.258566764597577,NA,NA,NA,NA,NA,NA,NA
CACNA2D3,NA,NA,0.295844894717833,NA,NA,0.30387019822003,NA,0.286574690563921,0.328489544184766,0.277627329768335
CACNB2,NA,NA,NA,NA,NA,NA,NA,0.415110223042717,NA,NA
CACNB4,-0.254113998134038,NA,-0.275883150624828,-0.292674582294119,-0.283198912626408,-0.263587054811824,NA,NA,-0.263505672317386,NA
CACTIN,0.28135456555191,NA,0.305158943967453,NA,0.251579665955941,NA,0.263474928498338,NA,0.279102940085212,NA
CAMTA1,NA,0.317063468284185,NA,NA,NA,NA,NA,NA,NA,0.347474175201422
CAMTA2,NA,NA,NA,NA,NA,NA,0.285189561656212,NA,NA,NA
CAPN10,0.306285572873543,-0.330869718577964,NA,0.263145177919156,NA,0.278505848448759,NA,-0.29778614839791,0.263046426292401,-0.319123663606908
CAPRIN2,NA,NA,0.349373267180969,NA,NA,NA,NA,NA,NA,0.261453374706391
CAPS2,NA,NA,0.298474734936244,NA,NA,NA,NA,NA,NA,NA
CASKIN1,NA,NA,NA,NA,NA,NA,NA,NA,0.336737815021975,NA
CASP10,NA,NA,NA,NA,NA,NA,NA,-0.262453351263183,NA,NA
CASP2,-0.455848285268373,-0.477578749890398,-0.440065934407543,-0.466783319847684,-0.376737452430296,-0.443816370176329,-0.424244552936297,-0.439933508569554,-0.475734601024871,-0.462262443571392
CBARP,0.256856255079244,0.379954571868392,NA,0.259323223030021,NA,NA,NA,NA,NA,NA
CBFA2T2,-0.334385150469632,NA,NA,-0.271620862847138,NA,NA,NA,-0.314589085927373,NA,-0.264997846222779
CBWD2,-0.296002378058593,-0.285644094938525,-0.264163397104864,-0.297106276301523,-0.251723019508269,-0.274177196878666,-0.317213674081975,-0.314272663783176,-0.267465552106953,-0.304741093594121
CBWD3,-0.340013837990486,-0.332756176430099,-0.271556840080157,-0.314690122008252,NA,-0.335989497934081,-0.307671229577142,-0.292779965477781,-0.327818860998362,-0.302327566670838
